make_model_ordinal,price,type_ordinal,warranty_ordinal,mileage,gearbox_ordinal,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,comfort_&_convenience,entertainment_&_media,safety_&_security,empty_weight,general_inspection,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,Compact,Convertible,Coupe,Off-Road/Pick-up,Sedan,Station wagon
2,29990.0,0,0,120000.0,1,0,1,1991.0,7.0,162.0,2,Standard,Standard,Safety Premium Plus Package,1555.0,New,0,No,Euro 6,1,2.0,0,8.0,265.0,7.1,1,0,0,0,0,0
7,8300.0,0,0,71752.0,1,0,1,2035.0,7.0,179.0,1,Premium,Standard,Safety Premium Package,1275.0,New,1,Yes,Euro 4,1,2.0,1,17.0,100.0,7.6,1,0,0,0,0,0
7,32950.0,0,0,34942.0,1,0,1,1332.0,7.0,121.0,1,Standard,Standard,Safety Premium Package,1275.0,Not_passed,0,No,Euro 6,1,2.0,1,2.0,120.0,5.3,1,0,0,0,0,0
9,32950.0,0,0,20124.0,1,0,1,1332.0,7.0,128.0,1,Standard,Standard,Safety Premium Package,1295.0,Not_passed,0,No,Euro 6,1,2.0,0,2.0,100.0,5.6,1,0,0,0,0,0
8,36900.0,0,0,11990.0,1,0,1,1332.0,8.0,22.0,1,Standard,Standard,Safety Premium Package,1680.0,New,0,No,Euro 6,0,1.0,1,1.0,160.0,1.4,1,0,0,0,0,0
11,29800.0,0,0,55226.0,0,1,1,2143.0,7.0,128.0,0,Standard,Standard,Safety Premium Plus Package,1845.0,New,0,No,Euro 6,1,2.0,1,6.0,125.0,4.7,1,0,0,0,0,0
9,18390.0,0,0,63871.0,1,0,1,1595.0,7.0,126.0,1,Standard,Standard,Safety Standard Package,1395.0,New,0,No,Euro 6,1,1.0,0,5.0,90.0,5.4,1,0,0,0,0,0
9,25900.0,0,0,26900.0,0,0,1,1332.0,6.0,126.0,1,Standard,Standard,Safety Premium Package,1350.0,Not_passed,0,No,Euro 6,1,2.0,0,2.0,100.0,0.0,1,0,0,0,0,0
9,25400.0,0,0,87700.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1445.0,New,0,No,Euro 6,1,3.0,0,4.0,85.0,3.9,1,0,0,0,0,0
12,29000.0,0,1,45701.0,1,1,1,1950.0,8.0,136.0,1,Standard,Standard,Safety Premium Package,1485.0,New,0,No,Euro 6,1,2.0,1,3.0,110.0,4.0,1,0,0,0,0,0
9,29900.0,0,0,52497.0,1,0,1,1332.0,7.0,127.0,1,Premium,Plus,Safety Premium Package,1295.0,New,1,Yes,Euro 6,1,2.0,0,3.0,100.0,5.6,1,0,0,0,0,0
9,14490.0,0,0,118059.0,0,1,1,1461.0,6.0,98.0,1,Standard,Standard,Safety Premium Package,1295.0,New,0,No,Euro 6,0,2.0,0,8.0,80.0,3.8,1,0,0,0,0,0
9,20630.0,0,0,98258.0,0,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1295.0,New,0,No,Euro 6,0,2.0,0,3.0,85.0,4.2,1,0,0,0,0,0
0,27500.0,0,0,11394.0,0,0,1,1332.0,6.0,129.0,1,Standard,Standard,Safety Premium Package,1270.0,New,0,No,Euro 6,1,1.0,1,1.0,80.0,5.6,1,0,0,0,0,0
9,8490.0,0,0,141980.0,1,0,1,1699.0,7.0,173.0,1,Standard,Standard,Safety Premium Package,1295.0,New,1,Yes,Euro 5,0,1.0,0,11.0,85.0,7.3,1,0,0,0,0,0
9,23850.0,0,0,71098.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Standard Package,1425.0,New,0,No,Euro 6,0,3.0,0,4.0,80.0,3.7,1,0,0,0,0,0
6,35500.0,0,0,26000.0,1,0,1,1991.0,7.0,141.0,1,Standard,Standard,Safety Premium Package,1450.0,New,0,No,Euro 6,1,2.0,1,3.0,140.0,6.1,1,0,0,0,0,0
9,29900.0,0,0,26500.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1445.0,New,0,No,Euro 6,0,1.0,0,1.0,85.0,3.9,1,0,0,0,0,0
9,25900.0,0,0,43987.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1445.0,New,0,No,Euro 6,0,2.0,0,3.0,85.0,3.9,1,0,0,0,0,0
9,16700.0,0,0,139000.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Standard Package,1425.0,New,0,No,Euro 6,0,2.0,0,6.0,80.0,3.7,1,0,0,0,0,0
9,23850.0,0,0,71098.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Standard Package,1425.0,New,0,No,Euro 6,0,3.0,0,4.0,80.0,3.7,1,0,0,0,0,0
9,27460.0,0,0,58813.0,1,0,1,1332.0,7.0,124.0,1,Standard,Plus,Safety Premium Package,1350.0,Not_passed,1,Yes,Euro 6,1,2.0,0,2.0,100.0,5.4,1,0,0,0,0,0
7,17399.0,0,0,100640.0,0,1,1,1796.0,6.0,101.5,1,Standard,Standard,Safety Premium Plus Package,1445.0,New,0,No,Euro 6,1,2.0,1,9.0,100.0,4.3,1,0,0,0,0,0
7,23999.0,0,0,100000.0,1,1,1,2143.0,7.0,101.5,1,Standard,Standard,Safety Premium Plus Package,1475.0,New,0,No,Euro 6,1,2.0,1,6.0,100.0,4.1,1,0,0,0,0,0
9,20630.0,0,0,98258.0,0,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1295.0,New,0,No,Euro 6,1,2.0,0,3.0,85.0,4.2,1,0,0,0,0,0
9,21000.0,0,0,172700.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Standard Package,1425.0,New,0,No,Euro 6,1,3.0,0,4.0,80.0,3.7,1,0,0,0,0,0
9,29900.0,0,0,68900.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1455.0,New,0,No,Euro 6,1,2.0,0,3.0,85.0,3.9,1,0,0,0,0,0
7,27999.0,0,1,41272.0,1,0,1,1332.0,7.0,126.0,1,Standard,Standard,Safety Premium Package,1275.0,New,0,No,Euro 6,1,3.0,1,4.0,120.0,5.3,1,0,0,0,0,0
9,25600.0,0,0,49600.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1445.0,New,0,No,Euro 6,1,3.0,0,4.0,85.0,3.9,1,0,0,0,0,0
9,26850.0,0,0,28330.0,1,0,1,1332.0,7.0,126.0,1,Standard,Standard,Safety Premium Package,1365.0,Not_passed,0,No,Euro 6,1,2.0,0,2.0,100.0,0.0,1,0,0,0,0,0
8,44785.0,0,0,9000.0,1,0,1,1332.0,8.0,0.0,1,Standard,Plus,Safety Premium Package,1680.0,New,1,Yes,Euro 6,0,2.0,1,2.0,173.0,1.4,1,0,0,0,0,0
9,25990.0,0,1,67626.0,1,0,1,1332.0,7.0,121.0,1,Premium,Plus,Safety Premium Package,1295.0,Not_passed,1,Yes,Euro 6,0,1.0,0,2.0,100.0,5.3,1,0,0,0,0,0
7,34995.0,0,0,8828.0,1,1,1,1950.0,8.0,101.5,2,Standard,Standard,Safety Premium Package,1555.0,Not_passed,0,No,Euro 6,1,1.0,1,2.0,110.0,4.6,1,0,0,0,0,0
9,27800.0,0,0,61618.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Standard Package,1425.0,New,0,No,Euro 6,0,3.0,0,4.0,80.0,3.7,1,0,0,0,0,0
9,29999.0,0,0,17115.0,1,0,1,1332.0,7.0,126.0,1,Standard,Standard,Safety Premium Package,1295.0,Not_passed,0,No,Euro 6,0,1.0,0,2.0,100.0,5.3,1,0,0,0,0,0
7,38350.0,2,0,8000.0,1,0,1,1332.0,7.0,138.0,1,Standard,Plus,Safety Premium Package,1275.0,New,0,No,Euro 6,1,1.0,0,1.0,120.0,5.3,1,0,0,0,0,0
7,23400.0,0,0,87500.0,1,1,1,2143.0,7.0,101.5,1,Standard,Standard,Safety Premium Plus Package,1475.0,New,0,No,Euro 6,1,2.0,1,6.0,100.0,4.1,1,0,0,0,0,0
13,7350.0,0,0,61170.0,1,0,1,1498.0,5.0,171.0,1,Standard,Standard,Safety Premium Package,1225.0,New,1,Yes,Euro 4,1,2.0,1,16.0,70.0,7.2,1,0,0,0,0,0
7,21450.0,0,0,116715.0,1,1,1,2143.0,7.0,101.5,1,Standard,Standard,Safety Premium Plus Package,1475.0,New,0,No,Euro 6,1,1.0,1,5.0,100.0,4.1,1,0,0,0,0,0
6,43880.0,2,0,8000.0,1,1,1,1950.0,7.0,133.0,1,Premium,Plus,Safety Premium Package,1485.0,New,1,No,Euro 6,1,1.0,1,1.0,140.0,4.4,1,0,0,0,0,0
7,23900.0,0,0,98781.0,1,1,1,2143.0,7.0,101.5,1,Standard,Standard,Safety Standard Package,1485.0,New,0,No,Euro 6,1,1.0,1,5.0,100.0,3.8,1,0,0,0,0,0
12,38880.0,2,0,22000.0,1,1,1,1950.0,8.0,136.0,1,Premium,Standard,Safety Premium Package,1485.0,New,1,No,Euro 6,1,1.0,1,2.0,110.0,4.4,1,0,0,0,0,0
9,27900.0,0,0,19785.0,1,0,1,1461.0,7.0,126.0,1,Standard,Standard,Safety Standard Package,1295.0,New,0,No,Euro 6,0,1.0,0,1.0,100.0,5.4,1,0,0,0,0,0
7,33900.0,0,0,35758.0,1,1,1,1950.0,8.0,101.5,1,Standard,Standard,Safety Premium Package,1510.0,Not_passed,0,No,Euro 6,1,1.0,1,2.0,110.0,4.1,1,0,0,0,0,0
2,64999.0,0,0,30273.0,1,0,1,1991.0,7.0,183.0,2,Standard,Standard,Safety Premium Package,1555.0,Not_passed,0,No,Euro 6,1,1.0,0,2.0,310.0,8.4,1,0,0,0,0,0
14,37900.0,0,0,126000.0,0,1,1,1950.0,6.0,210.0,1,Standard,Standard,Safety Premium Plus Package,2447.0,New,0,No,Euro 6,1,2.0,1,6.0,120.0,6.2,1,0,0,0,0,0
9,27490.0,0,0,91754.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Premium Package,1455.0,New,0,No,Euro 6,0,2.0,0,3.0,85.0,3.9,1,0,0,0,0,0
9,24780.0,0,1,46403.0,1,0,1,1595.0,7.0,130.0,1,Premium,Standard,Safety Premium Package,1370.0,New,1,Yes,Euro 6,0,3.0,0,4.0,90.0,5.5,1,0,0,0,0,0
9,9770.0,0,1,49658.0,0,0,1,1699.0,5.0,156.0,1,Standard,Standard,Safety Premium Package,1260.0,New,0,Yes,Euro 5,0,2.0,0,10.0,85.0,6.6,1,0,0,0,0,0
9,23850.0,0,0,71098.0,1,1,1,1461.0,7.0,99.5,1,Standard,Standard,Safety Standard Package,1425.0,New,0,No,Euro 6,0,3.0,0,4.0,80.0,3.7,1,0,0,0,0,0
13,6990.0,0,1,135000.0,0,0,1,1498.0,5.0,171.0,1,Standard,Standard,Safety Premium Plus Package,1225.0,New,0,No,Euro 4,0,4.0,1,14.0,70.0,6.2,1,0,0,0,0,0
7,7000.0,0,1,96000.0,0,0,1,2034.0,5.0,123.0,1,Standard,Standard,Safety Premium Plus Package,1340.0,New,0,No,Euro 4,1,2.0,1,17.0,100.0,7.2,1,0,0,0,0,0
13,6990.0,0,1,135000.0,0,0,1,1498.0,5.0,171.0,1,Standard,Standard,Safety Premium Plus Package,1225.0,New,0,No,Euro 4,1,4.0,1,14.0,70.0,6.2,1,0,0,0,0,0
8,33999.0,0,0,12265.0,1,0,1,1991.0,7.0,22.0,2,Standard,Standard,Safety Standard Package,1505.0,Not_passed,0,No,Euro 6,0,1.0,1,2.0,160.0,6.7,1,0,0,0,0,0
0,25950.0,0,0,13863.0,0,0,1,1332.0,5.0,129.0,1,Standard,Standard,Safety Premium Package,1270.0,Not_passed,0,No,Euro 6,1,1.0,1,2.0,80.0,5.6,1,0,0,0,0,0
9,31950.0,0,0,23644.0,1,0,1,1332.0,7.0,121.0,1,Standard,Standard,Safety Premium Package,1295.0,New,0,No,Euro 6,1,1.0,0,0.0,100.0,5.3,1,0,0,0,0,0
9,25000.0,0,0,78300.0,1,0,1,1332.0,7.0,126.0,1,Standard,Standard,Safety Premium Package,1365.0,New,0,No,Euro 6,1,2.0,0,3.0,100.0,0.0,1,0,0,0,0,0
9,14700.0,0,0,93914.0,0,1,1,1461.0,6.0,92.0,1,Standard,Standard,Safety Premium Package,1295.0,New,0,No,Euro 6,1,2.0,0,7.0,80.0,3.8,1,0,0,0,0,0
3,32800.0,0,0,17900.0,1,0,1,1991.0,7.0,169.0,2,Standard,Standard,Safety Premium Package,1455.0,New,0,No,Euro 6,1,1.0,0,1.0,225.0,7.3,1,0,0,0,0,0
15,184900.0,0,0,6100.0,1,0,1,3982.0,7.0,284.0,0,Premium,Plus,Safety Premium Package,1700.0,New,1,Yes,Euro 6,1,1.0,0,1.0,410.0,12.4,1,0,0,0,0,0
15,91999.0,0,1,94066.0,1,0,1,2999.0,7.0,209.0,2,Standard,Plus,Safety Premium Package,1940.0,New,1,No,Euro 6,1,2.0,0,3.0,270.0,9.1,1,0,0,0,0,0
15,154950.0,0,0,69901.0,1,0,1,3982.0,7.0,257.0,2,Premium,Plus,Safety Premium Package,1920.0,New,1,No,Euro 6,1,2.0,0,3.0,320.0,11.3,1,0,0,0,0,0
9,8950.0,0,0,199000.0,1,1,1,1991.0,1.0,99.5,1,Standard,Standard,Safety Premium Plus Package,1345.0,New,0,No,Euro 5,1,2.0,0,10.0,80.0,5.2,1,0,0,0,0,0
15,129850.0,0,0,50264.0,1,0,1,2999.0,7.0,215.0,2,Standard,Plus,Safety Premium Package,1945.0,New,1,Yes,Euro 6,1,1.0,0,2.0,320.0,9.1,1,0,0,0,0,0
16,168444.0,1,0,10.0,1,3,1,0.0,1.0,0.0,2,Standard,Plus,Safety Premium Package,2485.0,New,1,Yes,Euro 6,1,1.0,1,0.0,215.0,2.359,1,0,0,0,0,0
16,122500.0,1,0,5712.0,1,3,1,0.0,1.0,0.0,0,Standard,Plus,Safety Standard Package,2380.0,New,1,No,Euro 6,1,1.0,1,0.0,215.0,2.359,1,0,0,0,0,0
2,74990.0,0,0,60000.0,1,0,1,1991.0,8.0,162.0,2,Standard,Standard,Safety Premium Plus Package,1555.0,Not_passed,0,No,Euro 6,1,1.0,0,2.0,310.0,8.4,1,0,0,0,0,0
2,72500.0,0,0,34766.0,1,0,1,1991.0,7.0,192.0,2,Standard,Standard,Safety Premium Plus Package,1535.0,New,1,No,Euro 6,1,6.0,0,2.0,310.0,8.9,1,0,0,0,0,0
2,66990.0,0,0,48000.0,1,0,1,1991.0,8.0,162.0,2,Standard,Standard,Safety Premium Plus Package,1555.0,Not_passed,0,No,Euro 6,1,6.0,0,2.0,310.0,8.4,1,0,0,0,0,0
15,144900.0,0,0,5147.0,1,0,1,2999.0,7.0,0.0,2,Standard,Plus,Safety Premium Package,1940.0,New,1,No,Euro 6,1,1.0,0,1.0,320.0,9.3,1,0,0,0,0,0
3,56980.0,0,1,58592.0,1,0,1,1991.0,7.0,169.0,2,Standard,Plus,Safety Premium Package,1455.0,New,0,No,Euro 6,1,2.0,0,3.0,225.0,8.3,1,0,0,0,0,0
7,46999.0,0,0,5934.0,1,0,1,1337.0,7.0,123.0,1,Standard,Plus,Safety Premium Package,1275.0,New,1,No,Euro 6,1,1.0,0,1.0,100.0,6.1,1,0,0,0,0,0
15,129400.0,0,0,20133.0,1,0,1,2999.0,7.0,228.0,2,Standard,Plus,Safety Premium Package,1940.0,New,1,No,Euro 6,1,6.0,0,2.0,270.0,9.8,1,0,0,0,0,0
2,32999.0,0,1,100229.0,1,0,1,1991.0,7.0,165.0,2,Premium,Standard,Safety Premium Package,1455.0,New,1,No,Euro 6,1,2.0,0,7.0,280.0,7.1,1,0,0,0,0,0
2,39495.0,0,1,54510.0,1,0,1,1991.0,7.0,0.0,2,Premium,Standard,Safety Premium Package,1455.0,New,1,No,Euro 6,1,1.0,0,5.0,280.0,6.9,1,0,0,0,0,0
8,38850.0,0,1,49627.0,1,0,1,1991.0,7.0,145.0,1,Premium,Plus,Safety Premium Package,1355.0,New,0,No,Euro 6,0,3.0,1,4.0,202.0,6.2,1,0,0,0,0,0
9,10950.0,0,1,194367.0,0,1,1,1461.0,6.0,92.0,1,Premium,Standard,Safety Premium Package,1285.0,New,1,No,Euro 5,1,2.0,0,8.0,80.0,3.6,1,0,0,0,0,0
9,16750.0,0,1,184748.0,1,1,1,1461.0,6.0,98.0,1,Premium,Standard,Safety Premium Package,1325.0,New,0,No,Euro 6,1,1.0,0,5.0,80.0,3.7,1,0,0,0,0,0
2,30950.0,0,1,115949.0,1,0,1,1991.0,7.0,162.0,2,Premium,Standard,Safety Premium Package,1455.0,New,0,No,Euro 6,1,2.0,0,6.0,280.0,6.9,1,0,0,0,0,0
16,117500.0,0,0,3808.0,1,3,1,0.0,1.0,0.0,0,Standard,Plus,Safety Premium Package,2290.0,New,1,No,Euro 6,1,1.0,1,0.0,215.0,2.359,1,0,0,0,0,0
9,12950.0,0,1,236233.0,0,1,1,1461.0,6.0,89.0,1,Standard,Standard,Safety Premium Package,1285.0,New,0,No,Euro 6,1,2.0,0,6.0,80.0,3.5,1,0,0,0,0,0
9,12445.0,0,1,177477.0,0,1,1,1461.0,7.0,89.0,1,Standard,Standard,Safety Premium Package,1285.0,New,1,No,Euro 6,1,2.0,0,6.0,80.0,3.5,1,0,0,0,0,0
3,48950.0,0,1,59012.0,1,0,1,1991.0,7.0,169.0,2,Standard,Plus,Safety Premium Package,1455.0,New,1,Yes,Euro 6,1,1.0,0,3.0,225.0,7.3,1,0,0,0,0,0
2,28445.0,0,1,117613.0,1,0,1,1991.0,7.0,161.0,2,Standard,Standard,Safety Premium Package,1455.0,New,0,No,Euro 6,1,2.0,0,9.0,265.0,6.9,1,0,0,0,0,0
15,119000.0,0,0,42000.0,1,0,1,3982.0,7.0,228.0,0,Premium,Plus,Safety Premium Package,1645.0,New,1,Yes,Euro 6,1,2.0,0,7.0,375.0,9.6,1,0,0,0,0,0
7,48136.0,0,0,4537.0,1,0,1,1337.0,7.0,123.0,1,Standard,Plus,Safety Premium Package,1275.0,New,1,No,Euro 6,1,1.0,0,1.0,100.0,6.1,1,0,0,0,0,0
7,51999.0,0,0,6642.0,1,0,1,2143.0,7.0,123.0,1,Standard,Plus,Safety Premium Package,1275.0,New,1,No,Euro 6,1,1.0,0,1.0,100.0,6.1,1,0,0,0,0,0
9,14945.0,0,0,188018.0,1,0,1,1595.0,8.0,131.0,1,Premium,Standard,Safety Premium Package,1295.0,New,1,No,Euro 6,1,2.0,0,8.0,90.0,5.6,1,0,0,0,0,0
2,39900.0,0,0,46300.0,1,0,1,1991.0,7.0,162.0,2,Standard,Standard,Safety Standard Package,1555.0,New,0,No,Euro 6,1,2.0,0,6.0,280.0,6.9,1,0,0,0,0,0
2,25950.0,0,1,136404.0,1,0,1,1991.0,7.0,162.0,2,Premium,Standard,Safety Premium Package,1455.0,New,1,No,Euro 6,1,2.0,0,8.0,280.0,6.9,1,0,0,0,0,0
9,16950.0,0,0,165282.0,0,1,1,1461.0,7.0,105.0,1,Premium,Standard,Safety Premium Package,1295.0,New,0,No,Euro 5,1,2.0,0,10.0,80.0,4.0,1,0,0,0,0,0
3,66890.0,0,0,500.0,1,0,1,1991.0,7.0,188.0,2,Standard,Standard,Safety Premium Plus Package,1455.0,Not_passed,0,No,Euro 6,1,1.0,0,0.0,225.0,0.0,1,0,0,0,0,0
2,34900.0,0,0,52694.0,1,0,1,1991.0,7.0,162.0,2,Premium,Standard,Safety Premium Package,1455.0,New,1,No,Euro 6,1,2.0,0,6.0,280.0,6.9,1,0,0,0,0,0
2,44988.0,0,0,62182.0,1,0,1,1991.0,7.0,162.0,2,Premium,Standard,Safety Premium Package,1455.0,New,1,No,Euro 6,1,2.0,0,4.0,280.0,6.9,1,0,0,0,0,0
7,27425.0,0,0,139464.0,1,0,1,1332.0,7.0,123.0,1,Standard,Plus,Safety Premium Package,1275.0,New,0,No,Euro 6,1,2.0,1,4.0,120.0,5.3,1,0,0,0,0,0
8,44980.0,0,1,34408.0,1,0,1,1991.0,7.0,145.0,1,Standard,Plus,Safety Premium Package,1355.0,New,0,No,Euro 6,1,1.0,1,3.0,165.0,6.4,1,0,0,0,0,0
15,174500.0,0,0,39888.0,1,0,1,3982.0,7.0,258.0,2,Premium,Plus,Safety Premium Package,2020.0,New,1,No,Euro 6,1,4.0,0,2.0,320.0,12.9,1,0,0,0,0,0
6,33945.0,0,1,47514.0,1,0,1,1991.0,7.0,141.0,1,Standard,Plus,Safety Premium Package,1350.0,New,0,No,Euro 6,0,1.0,1,3.0,140.0,6.1,1,0,0,0,0,0
2,29950.0,0,1,69463.0,1,0,1,1991.0,7.0,161.0,2,Premium,Standard,Safety Premium Package,1455.0,New,1,No,Euro 6,1,2.0,0,8.0,280.0,6.9,1,0,0,0,0,0
9,19950.0,0,1,141989.0,0,1,1,1461.0,6.0,102.0,1,Premium,Standard,Safety Premium Package,1295.0,New,0,No,Euro 6,1,1.0,0,5.0,80.0,3.9,1,0,0,0,0,0
8,44500.0,0,0,14250.0,1,0,1,1332.0,7.0,0.0,1,Standard,Plus,Safety Premium Package,1580.0,New,0,No,Euro 6,1,1.0,1,1.0,160.0,1.0,1,0,0,0,0,0
0,22945.0,0,0,108464.0,1,0,1,1595.0,7.0,126.0,1,Premium,Standard,Safety Premium Package,1295.0,New,1,No,Euro 6,1,2.0,1,5.0,75.0,5.4,1,0,0,0,0,0
